,CRM - ??????????? ??????????,,,,??????????? ??? ???? ? ?? ???? - PB x MSE x Corp ,,,,,,,,,
56,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????? KPI ???????????,??????? ?????????????,+,+,,,,,,,,,
57,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????? KPI ???????????,?????????? ? ????? ???????????? KPI,+,+,,,,,,,,,
58,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????? KPI ???????????,????-???? ??????,+,+,,,,,,,,,
59,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,????????? / ??????????? ?????,?????? ???????,+,-,,,,,,,,,
60,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,????????? / ??????????? ?????,?????? ?????????,+,-,,,,,,,,,
61,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,????????? / ??????????? ?????,?????? DSA,+,-,,,,,,,,,
62,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,????????? / ??????????? ?????,??????????? ???????? ?? ?????????,+,-,,,,,,,,,
63,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,????????? / ??????????? ?????,?????? ????????????? ?????????,+,-,,,,,,,,,
64,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,????????? / ??????????? ?????,???????? ?????????,+,-,,,,,,,,,
65,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,????????? / ??????????? ?????,?????? ????????? ?? ?????????,+,-,,,,,,,,,
66,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????????,??????????? ?? ???????,+,+,,,,,,,,,
67,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????????,??????????? ?? ???????,+,+,,,,,,,,,
68,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????????,??????????? ?? ??????? ???????,+,+,,,,,,,,,
69,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????????,??????????? ?? ???????,+,+,,,,,,,,,
70,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????????,??????????? ?? ????????? ???????????,+,+,,,,,,,,,
71,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,???????????,???????????? ??????? ?????????? ???????,+,+,,,,,,,,,
72,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,?????????. ?????????? (?2),????????? ???? ?? ???????,+,+,,,,,,,,,
73,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,?????????. ?????????? (?2),????????? ????????????? ???????,+,+,,,,,,,,,
74,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,?????????. ?????????? (?2),?????????????????? ???????????,+,+,,,,,,,,,
75,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,?????????. ?????????? (?2),?????????????????? ?????????????,+,+,,,,,,,,,
76,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,?????????. ?????????? (?2),????????????? ?????????,+,-,,,,,,,,,
77,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,?????????. ?????????? (?2),?????? ?????? ??????,+,+,,,,,,,,,
78,????????? 2 - ???????? ??????? 360° ? ?????????? ?????????????? ???????????,?????????. ?????????? (?2),?????? ?????? ???????,+,+,,,,,,,,,
79,????????? 3 - ??????????? ????????? ? ?????????? ?????????,???????? ?????????,????????? ???????? ?? ??????? ???????????,+,-,,,,,,,,,
80,????????? 3 - ??????????? ????????? ? ?????????? ?????????,???????? ?????????,???? ?????????? ????? ????????,+,-,,,,,,,,,
81,????????? 3 - ??????????? ????????? ? ?????????? ?????????,???????? ?????????,First Touch / Last Touch ??????,+,-,,,,,,,,,
82,????????? 3 - ??????????? ????????? ? ?????????? ?????????,???????? ?????????,?????? ????????????? ??????? ?? ????????? ????????,+,-,,,,,,,,,
83,????????? 3 - ??????????? ????????? ? ?????????? ?????????,???????????? ? ???????????????,????? ?? ???????,+,-,,,,,,,,,
84,????????? 3 - ??????????? ????????? ? ?????????? ?????????,???????????? ? ???????????????,????? ?? ??????????????,+,+,,,,,,,,,
85,????????? 3 - ??????????? ????????? ? ?????????? ?????????,???????????? ? ???????????????,????? ?? ???????????,+,+,,,,,,,,,
86,????????? 3 - ??????????? ????????? ? ?????????? ?????????,???????????? ? ???????????????,??????? ?????????? ??????,+,+,,,,,,,,,
87,????????? 3 - ??????????? ????????? ? ?????????? ?????????,???????????? ? ???????????????,??????? ????????? ?? ???????,+,+,,,,,,,,,
88,????????? 3 - ??????????? ????????? ? ?????????? ?????????,???????????? ? ???????????????,??????? ?????? ??????????? ????????,+,+,,,,,,,,,
89,????????? 3 - ??????????? ????????? ? ?????????? ?????????,????????????? ?????????,?????????? ?????????????? ??????????,+,-,,,,,,,,,
90,????????? 3 - ??????????? ????????? ? ?????????? ?????????,????????????? ?????????,?????? ??????? ?? ????????,+,-,,,,,,,,,
91,????????? 3 - ??????????? ????????? ? ?????????? ?????????,????????????? ?????????,?????? ????????????? ????????,+,-,,,,,,,,,
92,????????? 3 - ??????????? ????????? ? ?????????? ?????????,????????????? ?????????,?????? ROI ????????,+,-,,,,,,,,,
93,????????? 3 - ??????????? ????????? ? ?????????? ?????????,????????????? ?????????,????????? ????????????? ??????? ???????????,+,-,,,,,,,,,
94,????????? 3 - ??????????? ????????? ? ?????????? ?????????,???????? ????????????,??????-??????? ?????,+,+,,,,,,,,,
95,????????? 3 - ??????????? ????????? ? ?????????? ?????????,???????? ????????????,??????-??????? ?? ????????,+,+,,,,,,,,,
96,????????? 3 - ??????????? ????????? ? ?????????? ?????????,???????? ????????????,??????-??????? ?? ???????,+,-,,,,,,,,,
97,????????? 3 - ??????????? ????????? ? ?????????? ?????????,???????? ????????????,?????????? KPI (???????),+,+,,,,,,,,,
98,????????? 3 - ??????????? ????????? ? ?????????? ?????????,???????? ????????????,?????????? ?????? (???????),+,+,,,,,,,,,
99,????????? 3 - ??????????? ????????? ? ?????????? ?????????,???????? ????????????,???????? ??????????? (???????),+,+,,,,,,,,,
100,????????? 3 - ??????????? ????????? ? ?????????? ?????????,???????? ????????????,???????? ????????????? (???????),+,+,,,,,,,,,
101,????????? 3 - ??????????? ????????? ? ?????????? ?????????,???????? ????????????,???????? ????????? (???????),+,-,,,,,,,,,
102,????????? 3 - ??????????? ????????? ? ?????????? ?????????,???????? ????????????,?????????? ??????????? ? ???????? ???????,+,+,,,,,,,,,
103,????????? 1,,?????????? ?????????? ?????,,+,+,,+,+,+,,,,
104,????????? 1,,???????? ?????? ??????? ?????????????? ? ????????,,+,+,,+,+,+,,,,
105,????????? 1,,"???????? ?????????? ? ?????????, ?????????, ?????? ? ??????????",,+,+,,+,+,+,,,,
106,????????? 1,,??????????? ???????? ?? ????????? ?????????.,,+,+,,+,+,+,,,,
107,????????? 1,,????????????? ??????-?????????,,+,+,,+,+,+,,,,
108,????????? 1,,??????????????/?????? ????????????? ?????? ????? ???????????? ??,,-,+,,+,+,+,,,,
109,????????? 1,,???????? ?????????? ????? ? ??????.,,+,+,,+,+,+,,,,
110,????????? 1,,????????????? ???????? ???????????? ??????????.,,+,+,,+,+,+,,,,
111,????????? 1,,?????????????? ??????????? ? ???????????,,+,+,,+,+,+,,,,
112,????????? 2,?????? ? ??????????? ????????,,,+,+,,+,+,+,,,,
113,????????? 2,,"??????????? ????????? ?? ????????? ??????? (????, ???????, ????, ????????? ??????????, ??????????? ?????).",,+,+,,+,,+,,,,
114,????????? 2,,???????? ??????? ????????? ??????? ?????????,,+,+,,+,+,+,,,,
115,????????? 2,,??????? ????????? ???????? ? ?????,,+,+,,+,+,+,,,,
116,????????? 1,, ?????????? ??????????? ??????????,,+,+,,+,+,+,,,,
117,????????? 1,,???????????? ??????????? ?? ?????????? ?????????,,+,+,,+,+,+,,,,
118,????????? 1,,"?????????? ???????? ?? ???????, ????????, ????? ? ?????? ??????",,+,+,,+,+,+,,,,
119,????????? 2,,???????? ?????? ?????????? ?????????,,+,+,,+,+,+,,,,
120,????????? 1,,??????????? ?????-?????? ? ?????????????? ???????????,,+,+,,+,+,+,,,,
121,????????? 1,,????????? ? ??????????,,+,+,,+,+,+,,,,
122,????????? 1,,??????? ??????? ??? ????????????/?????????,,+,+,,+,+,+,,,,
123,????????? 1,,?????? ?????????? ??????????,,+,+,,+,+,+,,,,
124,????????? 2,,?????? ?? ????????????? ???????????,,+,+,,+,+,+,,,,
125,????????? 2,,???????? ?????????? KPI,,+,+,,+,+,+,,,,
126,????????? 2,,?????? ?????? ? ???????? ????????????,,+,+,,+,+,+,,,,
127,????????? 2,??????????, c ???????-??????? ????????? ??????????? ????????????? ? ???????? ???????,,+,+,,+,+,+,,,,
130,????????? 1,????????????,????????????? ???? ??????? ?? ?????.,,+,+,,+,+,+,,,,
132,????????? 2,????????????? ????????????,"??????????? ? ????????, ????????? ?????? ?????????, ???????? ? ?????? ?????????? ?????????",,+,+,,+,+,+,,,,
134,????????? 1,?????????? ?????,???????? ??????????,,+,+,,+,+,+,,,,
136,????????? 1,????????? ??????.,???????????? ?????? ???????????,,+,,,+,+,+,,,,
137,????????? 1,?????????? ? ????????,?????????? ????????????? ?????????????,,+,,,+,+,+,,,,
140,????????? 2,?????? ????????????? ??????-?????????.,???????? ?????????? ?????????? ???????????,,+,,,+,+,+,,,,
142,????????? 1,?????? ???????? ? ????????? ????,???? ??????????? ????????? ? ????????? ????? (???????????/???????? ????????),,+,,,,,,,,,
143,????????? 1,?????? ???????? ? ????????? ????,???? ???????? ???????????? (UBO),,+,,,,,,,,,
144,????????? 1,?????? ???????? ? ????????? ????,????????????????? ????? ? ?????? ?? ?????? ????????,,+,,,,,,,,,
145,????????? 1,?????? ???????? ? ????????? ????,???? ??????????? ???????? ????? ????? (??? ????-????????),,+,,,,,,,,,
146,????????? 2,?????? ? ???????????,???? ????????????? ????????? ??????? ?? ???????/??????,,+,,,,,,,,,
147,????????? 2,?????? ? ???????????,???? ??????? ? ??????????? ?? ???????,,+,,,,,,,,,
148,????????? 2,?????? ? ???????????,?????????? ????????????? ?????? (?????????/????????? ???????),,+,,,,,,,,,
149,????????? 2,?????? ? ???????????,??????????? ? ??????????? ? ?????? ??? ??? ??????????,,+,,,,,,,,,
150,????????? 2,KYC ? ????????? ??? ?????,????????????? ?????????? ????? ??????? (re-KYC) ?? ???????,,+,,,,,,,,,
151,????????? 2,KYC ? ????????? ??? ?????,???????? ????????????? ?????????? ? ?? ?????? ????????,,+,,,,,,,,,
152,????????? 2,KYC ? ????????? ??? ?????,???????? ????????? ???????????? ???????? / ?????????-?????,,+,,,,,,,,,
153,????????? 2,KYC ? ????????? ??? ?????,??????? ????????? ? ????????? ?????????????,,+,,,,,,,,,
154,????????? 1,???????????? ???????? ???????,"???? ?????????? ?????????? ??? ? ?????? (????????, ???????????, ?????????, ?????????? ????)",,+,,,,,,,,,
155,????????? 1,???????????? ???????? ???????,????????????? ??????? ? ?????????? ?? ????? ????????,,+,,,,,,,,,
156,????????? 1,???????????? ???????? ???????,??????? ????????? ?? ??????? ???? ????????,,+,,,,,,,,,
157,????????? 1,?????-??????????? ??????,??????? ?????? ??? ??????? ?????? ?? ?????????? ????????? (?????? + cash management + trade finance),,+,,,,,,,,,
158,????????? 1,?????-??????????? ??????,???????????? workflow ???????????? (RM -> ????????? ???????? -> ???? -> ????? -> ???????),,+,,,,,,,,,
159,????????? 1,?????-??????????? ??????,??????? ?????? ??????? ?????? (?????????? ?? ??????/??????),,+,,,,,,,,,
160,????????? 2,?????????? ? ??????????? ?????????,?????? ???????????? ???????? ?? ????????,,+,,,,,,,,,
161,????????? 2,?????????? ? ??????????? ?????????,?????? ?????????? ??????? (?????????? ????? ?? ???? ?????????),,+,,,,,,,,,
162,????????? 2,?????????? ? ??????????? ?????????,???????????? ???????? ?? ?????????????? ?????????? (Tier 1/2/3),,+,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
